anime,Boku no Hero Academia 5th Season,Tokyo Revengers,Fumetsu no Anata e,"Ijiranaide, Nagatoro-san",Hige wo Soru. Soshite Joshikousei wo Hirou.,86,Vivy: Fluorite Eye's Song,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,Fruits Basket: The Final,"Sentouin, Hakenshimasu!","Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",Tensura Nikki: Tensei shitara Slime Datta Ken,Odd Taxi,Shaman King (2021),Osananajimi ga Zettai ni Makenai Love Comedy,Mairimashita! Iruma-kun 2nd Season,Koi to Yobu ni wa Kimochi Warui,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,Edens Zero,Zombieland Saga: Revenge,Yuukoku no Moriarty 2nd Season,Nomad: Megalo Box 2,Shadows House,Seijo no Maryoku wa Bannou Desu,Mashiro no Oto,Mars Red,SSSS.Dynazenon,Shakunetsu Kabaddi,Jouran: The Princess of Snow and Blood,Super Cub,Bakuten!!,Bishounen Tanteidan,Subarashiki Kono Sekai The Animation,Godzilla: S.P,"Dragon, Ie wo Kau.",Seven Knights Revolution: Eiyuu no Keishousha,Sayonara Watashi no Cramer,Yakunara Mug Cup mo,Kuro Gal ni Natta kara Shinyuu to shitemita.,Blue Reflection Ray,Cestvs: The Roman Fighter,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,Cardfight!! Vanguard: overDress,Battle Athletess Daiundoukai ReSTART!,Yuuki Yuuna wa Yuusha de Aru Churutto!,Itazuraguma no Gloomy,Dinosaur Biyori,Youkai Watch ♪,Shikaru Neko,Mazica Party,Mewkledreamy Mix!,Shinkansen Henkei Robo Shinkalion Z the Animation,Duel Masters King!,Uchuu Nanchara Kotetsu-kun,Motto! Majime ni Fumajime Kaiketsu Zorori 2nd Season,Utau Soccer Panda Mifanda,Iii Icecrin,Hyper Positive Yogoremon,Dosukoi Sushi Zumou,Oshiri Tantei 5th Season,Washimo 9th Season,One Piece,Boruto: Naruto Next Generations,Nanatsu no Taizai: Fundo no Shinpan,Detective Conan,"Kumo Desu ga, Nani ka?",Crayon Shin-chan,Kingdom 3rd Season,Pokemon (2019),Dragon Quest: Dai no Daibouken (2020),Digimon Adventure:,Back Arrow,Doraemon (2005),Yu☆Gi☆Oh!: Sevens,Maiko-san Chi no Makanai-san,Tropical-Rouge! Precure,Sazae-san,Nintama Rantarou,Rebirth,Chibi Maruko-chan (1995),D4DJ Petit Mix,Tokyo Gambo,Aikatsu Planet!,Kiratto Pri☆chan Season 3,Ojarumaru,Neko Konogoro,Neko no Robu,Fushigi Dagashiya: Zenitendou,Knyacki!,Aware! Meisaku-kun,Hanakappa,Kirin the Noop,Shimajirou no Wow!,Manul no Yuube,Gohan Kaijuu Pap,Yowamushi Monsters,Norimono Man: Mobile Land no Car-kun,Robot Pulta,Liv & Bell,Konigiri-kun,Beads no Mori no Rabi,Fuwafuwa Hour: Pui Pui & Muu Muu,Keito no Yousei: Knit to Wool,Unicorn no Kyupi,Pakkororin,Reizouko no Tsukenosuke!,Onigiri ni Naritai Cogimyun,Pororo Donghwanala,Gokushufudou,Shuumatsu no Walküre,Shiguang Dailiren,Yasuke,Mini Dragon,Youjo Senki: Sabaku no Pasta Daisakusen,Hetalia World★Stars,Eden (ONA),Shiguang Dailiren Fan Wai Pian: Biwu Zhaoqin,Etotama: Nyankyaku Banrai,Yoru no Kuni,Chibi Revenger,Artiswitch,Hololive Alternative,Daomu Biji Zhi Qinling Shen Shu,Liang Bu Yi,Wanmei Shijie,Celia-sensei no Wakuwaku Magical Kyoushitsu,Douluo Dalu: Shan Yu Yu Lai,Shi Yi Chang An: Mingyue Jishi You Er,Mi Bao Zhi Guo,Zhen Hun Jie: Bei Luo Shi Men Pian Part 2,Beyblade Burst Dynamite Battle,Wan Jie Du Zun,SD Gundam World Heroes,Blue Reflection Ray!,Wu Shang Shen Di 2nd Season,Mignon,Juan Siliang,Li Linke de Xiao Guaner,Kuang Shen Mo Zun,Xinghe Zhizun,Wan Jie Xian Zong 5th Season,Hua Jianghu: Huan Shi Men Sheng 2nd Season,Zhihao Beipan Diqiule,Aoi Hane Mitsuketa! Sagashite Miyou Mijika na Tori-tachi,Tai Yi Xian Mo Lu Zhi Ling Fei Ji IV,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen OVA,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,Uchi no Otouto Maji de Dekain Dakedo Mi ni Konai?,Oyasumi Sex,J* Fuuzoku Gakuensai,Sakusei Byoutou The Animation,Eroge de Subete wa Kaiketsu Dekiru! The Animation,Netokano,Netoshisu,Bitch na Inane-sama,Kazoku: Haha to Shimai no Kyousei,Shidoukan Day After The Animation,Karada de Kaiketsu Hyakkiya Tantei Jimusho,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,Shika no Ou: Yuna to Yakusoku no Tabi,Detective Conan Movie 24: The Scarlet Bullet,Sayonara Watashi no Cramer Movie: First Touch,Journey: Taiko Arabia Hantou de no Kiseki to Tatakai no Monogatari,BanG Dream! Movie: Episode of Roselia - I: Yakusoku,Shoujo☆Kageki Revue Starlight Movie,"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku",Gyokou no Nikuko-chan,Sore Ike! Anpanman: Fuwa Fuwa Fuwaly to Kumo no Kuni,Xiyou Ji: Zai Shi Yao Wang,Wonder Egg Priority Special,86 Special Edition: Senya ni Akaku Hinageshi no Saku,Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2,Jaku-Chara Tomozaki-kun Specials,Vivy: Fluorite Eye's Song - To Make Everyone Happy With My Singing,"Dragon Quest: Dai no Daibouken (2020): Bouken no Kiseki, Kore kara no Tabiji",Ani x Para: Anata no Hero wa Dare desu ka,Obey Me!: Makai Dai Ryokou!,Ensemble Stars!! 5th Anniversary Animation PV,JoJo no Kimyou na Bouken (TV),Shingeki no Kyojin Season 3 Part 2,"Komi-san wa, Comyushou desu.",Hitoribocchi no Marumaru Seikatsu,Handa-kun,Koe no Katachi,Koutetsujou no Kabaneri,Code Geass: Hangyaku no Lelouch R2,Vinland Saga
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen OVA,0.7667,1.5064,0.99,0.825,1.5086,0.9812,0.9739,0.5222,0.875,0.7934,0.825,0.8019,0.9921,0.8079,0.7667,0.8162,0.7667,0.8107,0.8546,0.7667,0.9889,1.4562,1.3582999999999998,1.3822,1.3582999999999998,0.987,1.5072,0.756,1.287,1.3,1.3727,1.2921,1.2901,1.5128,0.7667,1.2715,1.5149,1.3,0.9812,1.6825999999999999,1.495,1.3582999999999998,0.65,0.8667,0.86,0.65,1.3,0.7667,1.3,1.2889,1.3472,1.4942,0.86,0.65,0.7667,1.3,0.988,0.65,0.65,0.825,0.825,0.8811,0.9961,1.4055,0.8242,0.8833,0.5333,1.4013,0.8559,0.9806,0.86,1.2667,0.7667,1.2667,0.825,0.9667,0.7667,0.6482,0.7667,0.7667,0.65,1.3,1.3,0.7667,0.825,0.65,0.7667,1.2921,0.825,0.65,0.65,1.4167,0.825,1.3,0.7667,inf,0.7667,0.7667,1.4167,inf,inf,1.2889,1.2889,1.2889,inf,0.65,1.2889,1.3472,0.825,1.4996,1.5232999999999999,1.2667,0.65,1.4076,0.65,1.3822,1.3472,0.8143,1.2889,0.65,1.3582999999999998,inf,1.4579,0.7667,1.2806,0.7667,1.3557000000000001,1.4167,1.3822,1.287,0.8833,1.2889,1.6463999999999999,0.65,1.4055,1.58,1.2667,1.3582999999999998,1.2889,1.2667,1.3822,1.4055,0.86,1.2889,1.2806,0.0,0.7057,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.9889,1.2806,0.86,1.5167000000000002,1.2961,1.6333,inf,1.2812,1.5917,0.7667,1.2667,1.3472,1.2812,0.86,1.51,1.2739,1.2806,1.4060000000000001,0.7667,inf,0.993,0.9943,0.7444,0.7542,0.757,1.5917,1.4154,1.2812,0.9932
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,0.8737,0.9909,0.9,0.7667,0.8833,0.9897,0.985,0.567,0.825,0.7479,0.7667,0.7536,1.5310000000000001,0.7573,0.67,0.7567,0.72,0.749,0.65,0.8833,1.5567,0.9875,0.9833,0.7667,0.9885,1.4213,1.5057,0.8833,1.4333,1.5072,1.5,1.5316999999999998,0.8833,1.4542000000000002,0.72,0.7667,0.9914,1.506,0.9,0.9769,1.4018000000000002,1.5057,0.86,0.8036,0.8,0.86,1.5072,0.8833,1.5072,0.86,0.72,1.4886,0.65,0.86,0.72,1.5072,1.5558999999999998,0.86,0.86,0.7667,0.9,0.6993,0.8813,0.8,0.7663,0.6875,0.7667,0.9885,0.6457,0.756,0.65,0.8833,0.8833,0.8833,0.9,0.8633,0.8833,0.86,0.8833,0.8833,0.86,1.5072,1.5072,0.8833,0.58,0.86,0.8833,1.533,0.7667,0.86,0.86,0.86,0.58,1.5072,0.8833,inf,0.8833,0.72,0.86,inf,inf,0.86,0.86,0.86,inf,0.86,0.86,0.72,0.7556,0.9893,1.4333,0.8833,0.86,0.9842,0.86,0.9,0.8833,0.7542,0.86,0.86,1.2832999999999999,inf,0.9,0.72,0.7667,0.69,0.65,0.86,0.9,1.4333,0.825,0.86,1.6978,0.86,0.8,0.9,0.8833,1.4333,0.86,0.8833,0.7667,0.8,0.8,0.86,0.7667,0.7057,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.9,0.7667,0.9125,0.8833,0.8833,1.8433,inf,1.2897,1.288,0.72,0.8833,0.8833,1.2897,0.65,0.8833,1.285,0.7667,1.5333,0.72,inf,0.9,0.9064,0.8572,0.8833,0.8722,0.988,0.9143,1.2897,0.9
Uchi no Otouto Maji de Dekain Dakedo Mi ni Konai?,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Oyasumi Sex,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
J* Fuuzoku Gakuensai,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Sakusei Byoutou The Animation,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Eroge de Subete wa Kaiketsu Dekiru! The Animation,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Netokano,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Netoshisu,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Bitch na Inane-sama,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Kazoku: Haha to Shimai no Kyousei,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Shidoukan Day After The Animation,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Karada de Kaiketsu Hyakkiya Tantei Jimusho,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,0.8169,0.65,0.86,0.9842,1.2524000000000002,0.86,0.8485,0.8386,0.875,0.65,0.8386,0.8497,1.287,0.8521,0.9885,0.65,1.2885,0.65,0.8728,0.7977,0.9897,0.8733,0.825,0.86,0.9906,0.5213,0.8153,0.99,0.5333,1.2857,1.4363,0.987,0.8135,0.8506,0.825,0.65,0.9927,0.9857,1.4999,1.8464,0.825,0.825,0.9893,0.9,0.8833,1.2875,1.2857,0.825,1.2857,0.7417,0.825,0.8135,0.72,1.2875,1.32,1.2857,0.9889,1.2875,1.2875,0.86,1.4886,0.7623,0.8192,0.46,0.9972,0.7667,0.9933,0.7667,0.7161,0.6318,0.72,0.5069,1.475,0.5333,1.4847000000000001,0.5333,1.2885,0.9947,1.2885,1.2885,1.2805,1.2857,1.2857,0.993,0.86,1.2875,1.2885,1.287,0.86,1.2875,1.2875,1.285,0.86,1.2857,0.825,inf,1.2885,1.32,1.285,inf,inf,0.7667,0.7667,0.7667,inf,1.2875,0.7667,0.825,1.2842,0.6412,0.825,0.5333,1.2875,0.7667,0.9875,0.86,0.825,0.65,0.7667,1.2875,0.825,inf,0.86,1.2885,0.65,0.825,0.72,1.4167,0.86,0.5333,0.9,0.7667,1.5577,1.2875,0.475,1.466,0.5333,1.5917,0.7667,0.5333,0.65,0.8833,1.4785,0.7667,0.65,0.9889,0.9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.65,0.8833,0.9857,0.825,1.9726,inf,0.86,1.407,0.825,0.5333,0.825,0.86,0.72,0.9824,0.86,0.65,1.6357,0.825,inf,0.6291,0.7145,1.2862,0.9885,0.9909,1.4079000000000002,0.566,0.8552,0.8535
Shika no Ou: Yuna to Yakusoku no Tabi,0.825,0.86,0.86,1.2832999999999999,1.335,0.86,0.86,0.86,1.2743,0.65,0.86,0.86,1.44,0.86,1.335,0.86,1.2842,0.65,0.72,1.3264,1.4632999999999998,0.8833,1.335,0.86,1.2903,0.825,0.825,1.2897,0.825,1.475,1.2769,1.2893,0.5333,0.86,0.825,0.3,1.2795,1.4706000000000001,1.3582999999999998,1.7436,0.825,0.825,1.2959999999999998,0.7667,0.8833,1.2952,1.475,1.335,1.475,0.7667,0.5333,0.825,0.475,1.2999999999999998,0.825,1.475,1.2906,1.2999999999999998,1.2999999999999998,0.86,1.3582999999999998,0.58,0.5333,0.475,0.86,0.58,1.3551,0.7667,0.475,0.3,0.475,0.5333,1.2919,0.5333,1.2842,0.5333,1.335,1.293,1.335,1.3283,1.2999999999999998,1.287,1.475,1.2872,0.65,1.2999999999999998,1.335,1.44,0.86,1.2786,1.2999999999999998,0.7667,0.65,1.475,0.825,inf,1.335,0.825,0.7667,inf,inf,0.7667,0.7667,0.7667,inf,1.2999999999999998,0.7667,0.5333,1.2906,0.86,1.335,0.5333,1.2999999999999998,0.7667,1.287,0.86,0.825,0.65,0.7667,1.2999999999999998,1.335,inf,0.86,1.335,0.3,0.825,0.475,1.2999999999999998,0.86,0.825,0.7667,0.7667,1.5166,1.2999999999999998,0.475,1.3582999999999998,0.5333,1.5917,0.7667,0.5333,0.65,0.8833,1.375,0.7667,0.3,1.2806,0.7667,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.65,0.0,0.8833,1.335,0.5333,2.2793,inf,0.86,1.4167,0.825,0.5333,0.825,0.86,0.475,1.335,0.86,0.3,1.5769,0.825,inf,0.65,0.72,1.3311,1.2903,1.2906,1.2735,0.7667,0.86,0.65
